Sep 07 21:44:14 minikube kubelet[2199]: I0907 21:44:14.721135    2199 topology_manager.go:212] "Topology Admit Handler"
Sep 07 21:44:14 minikube kubelet[2199]: E0907 21:44:14.721196    2199 cpu_manager.go:395] "RemoveStaleState: removing container" podUID="41c35ee9-af29-45c5-a241-c735b47c6832" containerName="hello-app"
Sep 07 21:44:14 minikube kubelet[2199]: I0907 21:44:14.721293    2199 memory_manager.go:346] "RemoveStaleState removing state" podUID="41c35ee9-af29-45c5-a241-c735b47c6832" containerName="hello-app"
Sep 07 21:44:14 minikube kubelet[2199]: I0907 21:44:14.815496    2199 reconciler_common.go:258] "operationExecutor.VerifyControllerAttachedVolume started for volume \"kube-api-access-zh2zv\" (UniqueName: \"kubernetes.io/projected/6162dcf0-87c2-4417-ba5e-4e2ad428bb3b-kube-api-access-zh2zv\") pod \"case1-helloweb-6fb9875467-q725w\" (UID: \"6162dcf0-87c2-4417-ba5e-4e2ad428bb3b\") " pod="case1/case1-helloweb-6fb9875467-q725w"
Sep 07 21:46:15 minikube kubelet[2199]: E0907 21:46:15.067658    2199 remote_runtime.go:415] "ContainerStatus from runtime service failed" err="rpc error: code = Unknown desc = operation timeout: context deadline exceeded" containerID="542bb5c0da31cbe7960c46b97a41edd087ca7dfb9aa1b37f27ef4fecc27721c6"
Sep 07 21:46:15 minikube kubelet[2199]: E0907 21:46:15.067736    2199 kuberuntime_manager.go:1432] "getPodContainerStatuses for pod failed" err="rpc error: code = Unknown desc = operation timeout: context deadline exceeded" pod="case1/case1-helloweb-6fb9875467-q725w"
Sep 07 21:46:15 minikube kubelet[2199]: E0907 21:46:15.067754    2199 generic.go:453] "PLEG: Write status" err="rpc error: code = Unknown desc = operation timeout: context deadline exceeded" pod="case1/case1-helloweb-6fb9875467-q725w"
Sep 07 21:46:34 minikube kubelet[2199]: W0907 21:46:34.723857    2199 sysinfo.go:203] Nodes topology is not available, providing CPU topology
Sep 07 21:46:34 minikube kubelet[2199]: W0907 21:46:34.724047    2199 machine.go:65] Cannot read vendor id correctly, set empty.

Sep 07 21:48:13 minikube kubelet[2199]: E0907 21:48:13.187571    2199 remote_runtime.go:326] "StartContainer from runtime service failed" err="rpc error: code = Unknown desc = failed to get container \"542bb5c0da31cbe7960c46b97a41edd087ca7dfb9aa1b37f27ef4fecc27721c6\" log path: failed to inspect container \"542bb5c0da31cbe7960c46b97a41edd087ca7dfb9aa1b37f27ef4fecc27721c6\": operation timeout: context deadline exceeded" containerID="542bb5c0da31cbe7960c46b97a41edd087ca7dfb9aa1b37f27ef4fecc27721c6"
